,,Basics,,,,,,,Year / project analysed,,,Information from CC Website,,,,Links,,,,People Helped,,,,,,,,,,,,,Money Flows - to find true(r) cost,,Money Flows - to find true(r) cost,,,,,,,,,,,,Money Flows - Incoming,,Reserves,,,App-Related Info,,,,,Description of charity,,Stories,Stories - source,Logo image,Photo Image,Photo Image,Photo Caption,Photo - source,Other ,,,,,Educated Guesses of Quality,,,
RSPCA,Royal Society for the Prevention of Cruelty to Animals,,Animals,,,219099,Yes,Sanjay,Overall,1-Jan-2014,31-Dec-2014,Yes,,,,,"2014 annual report, downloaded from https://www.rspca.org.uk/utilities/aboutus/reports",,,"257,000,000",,,,,,,,,,,,,"£119,689,000",,,,"£119,689,000",£0.47,,,,,,,,"For the number of beneficiaries, I simply counted the 257m fish and animals reared under RSPCA welfare standards; there are in fact several other types of intervention, but the number of beneficiaries for the others is small enough that it is unlikely to materially impact anything. Whether or not it's appropriate to include these animals is debatable - to a certain extent you could argue that for many (most?) of the animals affected here, it could be that those who undertake these standards would in fact have chosen to treat the animals decently anyway, suggesting that for many of the 257 million animals, they are unaffected.  (although of course, the work done here is still of value)",,,,,,,Yes,,,,,,,,,,,,,,,,,,A,5,The difference in welfare between those animals reared under RSPCA welfare standards and those battery farms is huge,
RSPCA,Royal Society for the Prevention of Cruelty to Animals,,Animals,,,219099,Yes,Sanjay,Overall,1-Jan-2015,31-Dec-2015,Yes,,,,http://apps.charitycommission.gov.uk/Showcharity/RegisterOfCharities/CharityWithPartB.aspx?RegisteredCharityNumber=219099&SubsidiaryNumber=0,http://apps.charitycommission.gov.uk/Accounts/Ends99/0000219099_AC_20151231_E_C.pdf,,"Have assumed that the income labelled as ""re-homing, veterinary, and boarding income"" in note 2b relates to the work in the hospitals and animal centres project, and is paid for by the pet owners. Cost recovered (also in note 2b) is assumed to relate entirely to prosecutions (although we only know for sure that the majority relates to prosecutions) Assessment and licence fees assumed to relate to inspectorate, although it's not clear that this is right.",,,,,,,,,,,,,,"£117,128,000","£7,889,000",,"£3,658,000","£105,581,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RSPCA,Royal Society for the Prevention of Cruelty to Animals,,Animals,,,219099,Yes,Sanjay,Field animal welfare: hospitals and animal centres,1-Jan-2015,31-Dec-2015,Yes,,,,http://apps.charitycommission.gov.uk/Showcharity/RegisterOfCharities/CharityWithPartB.aspx?RegisteredCharityNumber=219099&SubsidiaryNumber=0,http://apps.charitycommission.gov.uk/Accounts/Ends99/0000219099_AC_20151231_E_C.pdf,,,221903,animals treated,"This largely refers to outpatient treatments in RSPCA's hospitals, although it includes some operations",,,,,,,,,,,"£47,143,020","£4,795,000",,"£1,472,314","£40,875,706",£184.21,,,,,,,,,,,,,,,Yes,Yes,Medium,,,,,,,,,,,,,,,,,,,
RSPCA,Royal Society for the Prevention of Cruelty to Animals,,Animals,,,219099,Yes,Sanjay,Field animal welfare: inspectorate,1-Jan-2015,31-Dec-2015,Yes,,,,http://apps.charitycommission.gov.uk/Showcharity/RegisterOfCharities/CharityWithPartB.aspx?RegisteredCharityNumber=219099&SubsidiaryNumber=0,http://apps.charitycommission.gov.uk/Accounts/Ends99/0000219099_AC_20151231_E_C.pdf,,,,,,,,,,,,,,,,"£44,117,743","£2,026,000",,"£1,377,832","£40,713,911",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RSPCA,Royal Society for the Prevention of Cruelty to Animals,,Animals,,,219099,Yes,Sanjay,Field animal welfare: Prosecutions - animal care,1-Jan-2015,31-Dec-2015,Yes,,,,http://apps.charitycommission.gov.uk/Showcharity/RegisterOfCharities/CharityWithPartB.aspx?RegisteredCharityNumber=219099&SubsidiaryNumber=0,http://apps.charitycommission.gov.uk/Accounts/Ends99/0000219099_AC_20151231_E_C.pdf,,"impact on p12, spend in note 3a - apparent inconsistency there though, the spend is for all prosecution-related work, impact is apparently just for one part of it",143004,complaint(s) investigated,complaints of alleged cruelty investigated,,,,,,,,,,,"£3,974,868","£435,030",,"£124,138","£3,415,700",£23.89,,,,,,,,,,,,,,,,,Low,"apparent inconsistency though, the spend is for all prosecution-related work, impact is apparently just for one part of it",,,,,,,,,,,,,,,,,,
RSPCA,Royal Society for the Prevention of Cruelty to Animals,,Animals,,,219099,Yes,Sanjay,Support to branches,1-Jan-2015,31-Dec-2015,Yes,,,,http://apps.charitycommission.gov.uk/Showcharity/RegisterOfCharities/CharityWithPartB.aspx?RegisteredCharityNumber=219099&SubsidiaryNumber=0,http://apps.charitycommission.gov.uk/Accounts/Ends99/0000219099_AC_20151231_E_C.pdf,,,,,,,,,,,,,,,,"£9,054,651",,,"£282,784",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RSPCA,Royal Society for the Prevention of Cruelty to Animals,,Animals,,,219099,Yes,Sanjay,Prosecutions - legal,1-Jan-2015,31-Dec-2015,Yes,,,,http://apps.charitycommission.gov.uk/Showcharity/RegisterOfCharities/CharityWithPartB.aspx?RegisteredCharityNumber=219099&SubsidiaryNumber=0,http://apps.charitycommission.gov.uk/Accounts/Ends99/0000219099_AC_20151231_E_C.pdf,,,,,,,,,,,,,,,,"£5,783,445","£632,970",,"£180,622","£4,969,854",#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RSPCA,Royal Society for the Prevention of Cruelty to Animals,,Animals,,,219099,Yes,Sanjay,"Campaigns, communications, publications",1-Jan-2015,31-Dec-2015,Yes,,,,http://apps.charitycommission.gov.uk/Showcharity/RegisterOfCharities/CharityWithPartB.aspx?RegisteredCharityNumber=219099&SubsidiaryNumber=0,http://apps.charitycommission.gov.uk/Accounts/Ends99/0000219099_AC_20151231_E_C.pdf,,,,,,,,,,,,,,,,"£3,068,815",,,"£95,842",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RSPCA,Royal Society for the Prevention of Cruelty to Animals,,Animals,,,219099,Yes,Sanjay,Science,1-Jan-2015,31-Dec-2015,Yes,,,,http://apps.charitycommission.gov.uk/Showcharity/RegisterOfCharities/CharityWithPartB.aspx?RegisteredCharityNumber=219099&SubsidiaryNumber=0,http://apps.charitycommission.gov.uk/Accounts/Ends99/0000219099_AC_20151231_E_C.pdf,,,,,,,,,,,,,,,,"£1,919,186",,,"£59,938",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RSPCA,Royal Society for the Prevention of Cruelty to Animals,,Animals,,,219099,Yes,Sanjay,Education,1-Jan-2015,31-Dec-2015,Yes,,,,http://apps.charitycommission.gov.uk/Showcharity/RegisterOfCharities/CharityWithPartB.aspx?RegisteredCharityNumber=219099&SubsidiaryNumber=0,http://apps.charitycommission.gov.uk/Accounts/Ends99/0000219099_AC_20151231_E_C.pdf,,,,,,,,,,,,,,,,"£1,242,588",,,"£38,807",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RSPCA,Royal Society for the Prevention of Cruelty to Animals,,Animals,,,219099,Yes,Sanjay,International,1-Jan-2015,31-Dec-2015,Yes,,,,http://apps.charitycommission.gov.uk/Showcharity/RegisterOfCharities/CharityWithPartB.aspx?RegisteredCharityNumber=219099&SubsidiaryNumber=0,http://apps.charitycommission.gov.uk/Accounts/Ends99/0000219099_AC_20151231_E_C.pdf,,,,,,,,,,,,,,,,"£823,685",,,"£25,724",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Royal British Legion,,,Military/veterans,Direct Work,United Kingdom,219279,Yes,Sanjay,Overall,1-Oct-2013,30-Sep-2014,Yes,,0,,,http://apps.charitycommission.gov.uk/Accounts/Ends79/0000219279_AC_20140930_E_C.pdf,,"P8: ""We cared for over 650 people in our six care homes in England this year"" // P9: ""We have also supported over 400 injured, wounded or sick members of the Armed Forces through the Battle Back Centre at Lilleshall, providing adaptive sport and adventurous training as a means to recovery"" // P9: ""Our specialist health and welfare advisors have provided outreach services to over 1,100 vulnerable beneficiaries such as homeless veterans and prison leavers"" // P9: ""more than 18,500 people have been able to go on a much needed break""",20650,,,,,,,,,,,,,"£115,200,000",,,,"£115,200,000","£5,578.69",,,,,,,,"The number of direct beneficiaries is perhaps not complete, the report mentions the opening of several dropin centres, but no indication of the number of people who use these. A large proportion of the counted beneficiaries (18,500) are people getting a ""much-needed break"", with no indication of said beneficiaries having more need for a much-needed break than you or I do. The outreach services to over 1100 vulnerable beneficiaries such as homeless/prison leavers sounds useful, but only because they are working with those vulnerable groups, and another charity that focuses on the homeless or prison leavers could presumably do just as well. What's more, it would be bizarre for the outreach workers to go to a group of people and help some, but not others who are not vets. ",,,,,,,Yes,,,,,,,,,,,,,Email sent from sanjay@sogive.org on 18-may-2017. They replied the next day to suggest looking at the annual report and accounts. Have sent a reply back saying that we've already looked in the annual report and accounts.,,,,,C,1,,
Royal British Legion,,,Military/veterans,Direct Work,United Kingdom,219279,Yes,Sanjay,Overall,1-Oct-2014,30-Sep-2015,Yes,,,,,http://apps.charitycommission.gov.uk/Accounts/Ends79/0000219279_AC_20150930_E_C.pdf,,,,,,,,,,,,,,,,"£143,053,000",,,,"£143,053,000",,,,,,,,,,,,,,,,,"No, have searched for impact data, and it seems there isn't any in the accounts",,,,,,,,,,,,Email sent from sanjay@sogive.org on 18-may-2017. They replied the next day to suggest looking at the annual report and accounts. Have sent a reply back saying that we've already looked in the annual report and accounts.,,,,,,,,
Royal British Legion,,,Military/veterans,Direct Work,United Kingdom,219279,Yes,Sanjay,Care services,1-Oct-2014,30-Sep-2015,Yes,,,,,http://apps.charitycommission.gov.uk/Accounts/Ends79/0000219279_AC_20150930_E_C.pdf,,,,,,,,,,,,,,,,"£29,774,487",,,,"£29,774,487",,,,,,,,,,,,,,,,,"No, have searched for impact data, and it seems there isn't any in the accounts",,,,,,,,,,,,Email sent from sanjay@sogive.org on 18-may-2017. They replied the next day to suggest looking at the annual report and accounts. Have sent a reply back saying that we've already looked in the annual report and accounts.,,,,,,,,
Royal British Legion,,,Military/veterans,Direct Work,United Kingdom,219279,Yes,Sanjay,Personnel Recovery centres,1-Oct-2014,30-Sep-2015,Yes,,,,,http://apps.charitycommission.gov.uk/Accounts/Ends79/0000219279_AC_20150930_E_C.pdf,,,,,,,,,,,,,,,,"£5,355,384",,,,"£5,355,384",,,,,,,,,,,,,,,,,"No, have searched for impact data, and it seems there isn't any in the accounts",,,,,,,,,,,,Email sent from sanjay@sogive.org on 18-may-2017. They replied the next day to suggest looking at the annual report and accounts. Have sent a reply back saying that we've already looked in the annual report and accounts.,,,,,,,,
Royal British Legion,,,Military/veterans,Direct Work,United Kingdom,219279,Yes,Sanjay,Community Welfare services,1-Oct-2014,30-Sep-2015,Yes,,,,,http://apps.charitycommission.gov.uk/Accounts/Ends79/0000219279_AC_20150930_E_C.pdf,,,,,,,,,,,,,,,,"£64,451,036",,,,"£64,451,036",,,,,,,,,,,,,,,,,"No, have searched for impact data, and it seems there isn't any in the accounts",,,,,,,,,,,,Email sent from sanjay@sogive.org on 18-may-2017. They replied the next day to suggest looking at the annual report and accounts. Have sent a reply back saying that we've already looked in the annual report and accounts.,,,,,,,,
Royal British Legion,,,Military/veterans,Direct Work,United Kingdom,219279,Yes,Sanjay,Membership services,1-Oct-2014,30-Sep-2015,Yes,,,,,http://apps.charitycommission.gov.uk/Accounts/Ends79/0000219279_AC_20150930_E_C.pdf,,,,,,,,,,,,,,,,"£12,043,914",,,,"£12,043,914",,,,,,,,,,,,,,,,,"No, have searched for impact data, and it seems there isn't any in the accounts",,,,,,,,,,,,Email sent from sanjay@sogive.org on 18-may-2017. They replied the next day to suggest looking at the annual report and accounts. Have sent a reply back saying that we've already looked in the annual report and accounts.,,,,,,,,
Royal British Legion,,,Military/veterans,Direct Work,United Kingdom,219279,Yes,Sanjay,Comradeship,1-Oct-2014,30-Sep-2015,Yes,,,,,http://apps.charitycommission.gov.uk/Accounts/Ends79/0000219279_AC_20150930_E_C.pdf,,,,,,,,,,,,,,,,"£1,105,143",,,,"£1,105,143",,,,,,,,,,,,,,,,,"No, have searched for impact data, and it seems there isn't any in the accounts",,,,,,,,,,,,Email sent from sanjay@sogive.org on 18-may-2017. They replied the next day to suggest looking at the annual report and accounts. Have sent a reply back saying that we've already looked in the annual report and accounts.,,,,,,,,
Royal British Legion,,,Military/veterans,Direct Work,United Kingdom,219279,Yes,Sanjay,Communication and campaigning,1-Oct-2014,30-Sep-2015,Yes,,,,,http://apps.charitycommission.gov.uk/Accounts/Ends79/0000219279_AC_20150930_E_C.pdf,,,,,,,,,,,,,,,,"£17,064,000",,,,"£17,064,000",,,,,,,,,,,,,,,,,"No, have searched for impact data, and it seems there isn't any in the accounts",,,,,,,,,,,,Email sent from sanjay@sogive.org on 18-may-2017. They replied the next day to suggest looking at the annual report and accounts. Have sent a reply back saying that we've already looked in the annual report and accounts.,,,,,,,,
Royal British Legion,,,Military/veterans,Direct Work,United Kingdom,219279,Yes,Sanjay,Remembrance and ceremonial,1-Oct-2014,30-Sep-2015,Yes,,,,,http://apps.charitycommission.gov.uk/Accounts/Ends79/0000219279_AC_20150930_E_C.pdf,,,,,,,,,,,,,,,,"£13,259,035",,,,"£13,259,035",,,,,,,,,,,,,,,,,"No, have searched for impact data, and it seems there isn't any in the accounts",,,,,,,,,,,,Email sent from sanjay@sogive.org on 18-may-2017. They replied the next day to suggest looking at the annual report and accounts. Have sent a reply back saying that we've already looked in the annual report and accounts.,,,,,,,,
Royal British Legion,,,Military/veterans,Direct Work,United Kingdom,219279,Yes,Sanjay,Overall,1-Oct-2015,30-Sep-2016,Yes,,,,,http://media.britishlegion.org.uk/Media/9244/the-royal-british-legion-annual-report-accounts-2016.pdf,,,,,,,,,,,,,,,,"£146,857,000",,,,"£146,857,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Royal British Legion,,,Military/veterans,Direct Work,United Kingdom,219279,Yes,Sanjay,Care services,1-Oct-2015,30-Sep-2016,Yes,,,,,http://media.britishlegion.org.uk/Media/9244/the-royal-british-legion-annual-report-accounts-2016.pdf,,,753,residents supported,,,,,,,,,,,,"£35,150,987",,,,"£35,150,987","£46,681.26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Royal British Legion,,,Military/veterans,Direct Work,United Kingdom,219279,Yes,Sanjay,Personnel Recovery centres,1-Oct-2015,30-Sep-2016,Yes,,,,,http://media.britishlegion.org.uk/Media/9244/the-royal-british-legion-annual-report-accounts-2016.pdf,,,,,,,,,,,,,,,,"£2,065,006",,,,"£2,065,006",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Royal British Legion,,,Military/veterans,Direct Work,United Kingdom,219279,Yes,Sanjay,Community Welfare services,1-Oct-2015,30-Sep-2016,Yes,,,,,http://media.britishlegion.org.uk/Media/9244/the-royal-british-legion-annual-report-accounts-2016.pdf,,,,,,,,,,,,,,,,"£64,447,075",,,,"£64,447,075",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Royal British Legion,,,Military/veterans,Direct Work,United Kingdom,219279,Yes,Sanjay,Membership services,1-Oct-2015,30-Sep-2016,Yes,,,,,http://media.britishlegion.org.uk/Media/9244/the-royal-british-legion-annual-report-accounts-2016.pdf,,,,,,,,,,,,,,,,"£13,325,361",,,,"£13,325,361",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Royal British Legion,,,Military/veterans,Direct Work,United Kingdom,219279,Yes,Sanjay,Comradeship,1-Oct-2015,30-Sep-2016,Yes,,,,,http://media.britishlegion.org.uk/Media/9244/the-royal-british-legion-annual-report-accounts-2016.pdf,,,,,,,,,,,,,,,,"£1,152,624",,,,"£1,152,624",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Royal British Legion,,,Military/veterans,Direct Work,United Kingdom,219279,Yes,Sanjay,Communication and campaigning,1-Oct-2015,30-Sep-2016,Yes,,,,,http://media.britishlegion.org.uk/Media/9244/the-royal-british-legion-annual-report-accounts-2016.pdf,,,,,,,,,,,,,,,,"£16,250,111",,,,"£16,250,111",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Royal British Legion,,,Military/veterans,Direct Work,United Kingdom,219279,Yes,Sanjay,Remembrance and ceremonial,1-Oct-2015,30-Sep-2016,Yes,,,,,http://media.britishlegion.org.uk/Media/9244/the-royal-british-legion-annual-report-accounts-2016.pdf,,,,,,,,,,,,,,,,"£14,465,838",,,,"£14,465,838",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Smile train,The Smile Train UK,Health,,Direct Work,Developing World,1114748,Yes,Sanjay,Overall,1-Jul-2013,30-Jun-2014,Yes,,,,,http://www.smiletrain.org/assets/pdfs/2014-annual-report.pdf,http://apps.charitycommission.gov.uk/Accounts/Ends48/0001114748_AC_20140630_E_C.pdf,"No of beneficiaries not stated in group accounts, but stated in UK accounts: P4 of http://apps.charitycommission.gov.uk/Accounts/Ends48/0001114748_AC_20140630_E_C.pdf","128,013",,,,,,,,,,,,,"£125,967,866",,,,"£125,967,866",£984.02,,,,,,,,"Interestingly, the accounts state that the surgery ""can"" cost as little as $250. However. taking the crude approach of total cost divided by number of beneficiaries indicates an average cost in excess of $1000. Admittedly, this cost includes other things such as supporting doctors overseas, providing training and writing free articles. It would be good to know a cost breakdown for this, but this level of info is not available in the annual report. Perhaps need to contact charity to get more info about this?",,,,,,,Yes,,,,,,,,,,,,,,,,,,B,3,"The annual report describes movingly how the fate of a child can be changed by the surgery to address a cleft palate, since the child may be withdrawn or ostracised as a result of their disfigurement. However it gives no indication of how widespread this is; while I am confident that there are some cultures who would ostracise children with a cleft palate, I would speculate that a material proportion (maybe the majority?) of the children helped were in fact quite happy with their lives before the intervention, and that while the intervention would have been (presumably) viewed positively by the beneficiary and his/her family at the time, would likely have done little to improve their lives (note that this is pure speculation; the charity provides no evidence to confirm or deny this). The rating of 3 assumes that the surgery can on occasions be life-changingly positive, and in other cases would render the beneficiary's life not materially better - more evidence would be needed to justify a higher rating. Update: found some research here, which seems to suggest that it's moderately cost-effective: http://www.ncbi.nlm.nih.gov/pubmed/20063097. There's also this study too: http://www.ncbi.nlm.nih.gov/pubmed/22986629",
